packaging,base_name,ecommerce_category,mrp
standard,AMUL 200 g CUBE ( 8X25g ) [PROCHS],Cheese & Paneer,127
12,AMUL FRESH CREAM\CREAM\TBA 250 ML ,Butter & Cream,67
standard,AMUL [BUTTER] 100 g [SALTED],Ghee & Dairy Fats,56
standard,ANUVED CHANAN,Food & Grocery,75
4+2,ARIEL MATICK,Laundry & Detergent Powder,1499
standard,ASR 90 g PLPCH COCONUT GREEN CHUTNEY,"Sauces, Jams & Spreads",50
100g,ASR Chutney Powder,Pickles & Chutneys,44
1kg,Aashirvaad Atta,Wheat & Atta,60
100g,Achar Masala,Masala & Spices,80
standard,Ahemdabadi Mix,Food & Grocery,70
standard,Ahmadabadi Mix,Snacks & Namkeen,75
standard,Aipino Organic Pb Crunch. U. S.,Food & Grocery,549
250g,Barik Mataki,Food & Grocery,65
450ml,KLF Coconut Oil,Cooking Oils,287
standard,Akhabari Roasted Pista,Dry Fruits & Nuts,1800
standard,Alashi,Food & Grocery,100
standard,Alashi,Food & Grocery,200
100g,Alashi,Food & Grocery,24
standard,Alashi50g,Food & Grocery,12
standard,Alpino Classic Pb .crunch,Milk & Dairy,199
standard,Alpino Hp. Pb. Crunch Natural,Food & Grocery,279
standard,Alpino Natural Pb. Crunch U.s.,Food & Grocery,219
standard,Alpino Organic Pb. Crunch U. S.,Food & Grocery,249
standard,Alpino Classic P.b.crunch,Milk & Dairy,499
standard,Alpino Classic P.b.smooth,Milk & Dairy,449
standard,Alpino Hp. Pb. Crunch Natural,Food & Grocery,649
standard,Alpino Hp. Pb. Dark Choclate,Food & Grocery,275
standard,Amar Tea,Tea & Beverages,85
standard,Ambi pur exotic jasmine room freshener,Air Fresheners,279
standard,Amul 300 g Plcnt Chocominis [Mouldd],Chocolates & Confectionery,140
200g,Amul Butter,Ghee & Dairy Fats,118
1L,Amul Cow Ghee,Ghee & Dairy Fats,555
180ml,Amul Kool Rose,Food & Grocery,22
1L,Amul Pure Ghee,Ghee & Dairy Fats,540
500ml,Amul Pure Ghee,Ghee & Dairy Fats,265
standard,Amul 500 Ml Plpch Cow Ghee,Ghee & Dairy Fats,325
200G,Amul Mithai Mate Condensed Milk,Cheese & Paneer,48
standard,Amul Pasteurised Butter 500 gs,Ghee & Dairy Fats,275
standard,Amul Processed Cheese 200 gs,Cheese & Paneer,123
1kg,Ambemohar Rice,Food & Grocery,220
250g,Akhabari Pista,Dry Fruits & Nuts,600
standard,Amul Taaza Toned Milk 1 Lt Carton,Milk & Dairy,72
5pc,Anarasa,Food & Grocery,80
4pc,Anarasa pure ghee,Ghee & Dairy Fats,100
standard,Anarse,Snacks & Namkeen,80
standard,Anarse,Snacks & Namkeen,100
250g,Anjeer,Dry Fruits & Nuts,500
standard,Vim Lq 2 Lit ,Household Cleaning,410
125g,Anuved Shahi Khus,Food & Grocery,85
standard,Arial Liq. Pouch,Food & Grocery,390
1.5kg,Ariel Complete +,Laundry & Detergent Powder,370
1.5kg,Ariel Complete,Laundry & Detergent Powder,360
4+2,Ariel Matic Top load,Laundry & Detergent Powder,1325
2L,Ariel TL Matic Liquid,Laundry & Detergent Powder,410
standard,Ariel Top Load Liq.,Laundry & Detergent Powder,220
500g,Ariel powder,Laundry & Detergent Powder,168
250g,B w coconut oil,Baby Foods,120
500g,BAJAKA PHOA,Baby Foods,60
standard,BAKE LITE 200 g PLPCH BROWN TOASTED BREAD,Bakery & Breads,60
100g,Badam,Dry Fruits & Nuts,110
600g,BB Soap,Laundry & Detergent Bar,90
standard,BRITANNIA 200 g CDBOX NUTRI CHOICE 5 GRAIN HI FIBRE,Biscuits & Cookies,75
