packaging,base_name,ecommerce_category,mrp
standard,Sweekar Refinedsunflower,Cooking Oils,170
standard,Sweet Chilli Garlic sauce,"Sauces, Jams & Spreads",99
900g,Surabhi NOG ketchup,"Sauces, Jams & Spreads",130
900g,Surabhi Classic Ketchup,"Sauces, Jams & Spreads",140
250g,Surabhi Schezwan Chutney,"Sauces, Jams & Spreads",95
100g,Roasted Chana,Snacks & Namkeen,30
standard,Sweet chilli garlic sauce,"Sauces, Jams & Spreads",75
25P,TAJMAHAL TEA BAG BX,Tea & Beverages,75
standard,Svitemblica Amla Orange,Food & Grocery,185
100g,Surabhi Date Tamarind chutney,"Sauces, Jams & Spreads",30
standard,Dimond Sing Israeli,Food & Grocery,120
75g,TANG MANGO,Food & Grocery,30
75g,TANG ORANGE,Food & Grocery,30
500ml,Sugar Free Lemon Ginger,Juices & Concentrates,199
standard,TIGAR CRUNCH,Food & Grocery,10
standard,TREAT,Food & Grocery,20
standard,TWELVE STAR,Food & Grocery,80
250g,Taaza Masala,Tea & Beverages,70
standard,Taj Mahal Tea. Bag,Tea & Beverages,210
standard,Taj Mahal Tea. Bag,Tea & Beverages,75
standard,Tata Tea Premium,Tea & Beverages,155
standard,Talod moong bhajiya,Snacks & Namkeen,135
standard,Tandoori Sauce,"Sauces, Jams & Spreads",99
standard,Tandoori mayo,"Sauces, Jams & Spreads",75
75g,TANG LEMON,Food & Grocery,30
standard,Tata Tea Agni,Tea & Beverages,65
standard,Taj Mahal Tea Bags,Tea & Beverages,220
standard,Thousand islane,Food & Grocery,119
1L,Tej Mustard oil,Cooking Oils,230
200g,Masala kela wafer,Snacks & Namkeen,80
standard,Treat croissant,Food & Grocery,20
185ml,Tresemme HD Shampoo,Hair Care & Shampoo,180
185ml,Tresemme KS Shampoo,Hair Care & Shampoo,150
180ml,Tresemme PP Shampoo,Hair Care & Shampoo,190
190ml,Tresemme SS Conditioner,Hair Care & Conditioner,195
185ml,Tresemme SS Shasmpoo,Hair Care & Shampoo,190
180ml,Tresemme TF Shampoo,Hair Care & Shampoo,130
75g,Unibic Butter Cookies,Biscuits & Cookies,30
75g,Unibic Choco Nut Cookies,Biscuits & Cookies,30
75g,Unibic Fruit & Nut Cookies,Biscuits & Cookies,30
75g,Unibic Choco Chip Cookies,Biscuits & Cookies,27
standard,Vanish Liq.,Laundry & Softener & Bleach,279
standard,VIM BAR,Household Cleaning,130
200g,Ujala crisp & shine,Laundry & Softener & Bleach,70
100ml,Vaseline Aloe Fresh,Skin Care &  Body Lotion,99
200,Bournvita,Health Drinks,150
450g,Tomato ketchup,"Sauces, Jams & Spreads",50
200ml,Vaseline Aloe Fresh,Skin Care &  Body Lotion,210
200ml,Vaseline Cocoa Glow,Chocolates & Confectionery,225
200ml,Vaseline Complete 10,Skin Care &  Body Lotion,255
100ml,Vaseline Daily Brightening,Skin Care &  Body Lotion,99
200ml,Vaseline Daily Brightening,Skin Care &  Body Lotion,225
100ml,Vaseline Deep Moisture,Skin Care &  Body Lotion,85
200ml,Vaseline Deep Moisture,Skin Care &  Body Lotion,175
80g,Vaseline Derma Care,Skin Care &  Body Lotion,180
21g,Vaseline jelly,Skin Care &  Body Lotion,42
standard,Veeba Harissa chilli cumin Dressing,"Sauces, Jams & Spreads",169
standard,Veeba Hony Mustard Dressing,"Sauces, Jams & Spreads",169
standard,Veeba Peri peri sauce,"Sauces, Jams & Spreads",175
standard,Veeba Ranch Dressing,Food Colors & Essences,175
standard,Veeba Sweet Chilli sauce,"Sauces, Jams & Spreads",135
standard,Veeba chilli garlic sauce,"Sauces, Jams & Spreads",149
standard,Veeba mint mayonnais,"Sauces, Jams & Spreads",169
standard,Veeba mustard sauce,"Sauces, Jams & Spreads",135
310g,Veeba pizza & pasta sauce,"Sauces, Jams & Spreads",149
standard,Vim Dishwash Gel   Lemon 750 ml,Kitchen Cleaners,199
140ml,Vim Gel,Household Cleaning,20
30g,Veet Cream 5in1,Hair Removal,89
standard,Vijaya Ghee 1kg Special,Ghee & Dairy Fats,690
500g,Saffola Masala Oats,Cereals & Breakfast,220
standard,Vim Gel Pouch,Household Cleaning,445
130g,Vim Lemons,Household Cleaning,10
375g,Vim Lemons,Household Cleaning,30
3U*200g,Vim Lemons,Household Cleaning,52
500g,Vim Lemons,Household Cleaning,52
4+1,Vim Pudina,Household Cleaning,115
250ml,Vim liquid,Household Cleaning,55
500ml,Vim liquid,Household Cleaning,125
163g,Vita Marie Gold,Biscuits & Cookies,30
500g,Badam,Dry Fruits & Nuts,500
90ml,Navratna Oil,Hair Care & Oil,85
30g,WhiteTone Face Powder,Food & Grocery,65
100g,Yardley Imperial Jasmine Talc,Talcum Powder,132
100g,Yardley Imperial Sandalwood,Talcum Powder,132
100g,Yardley Lace Satin Talc,Deodorants & Perfumes,132
100g,Yardley Lace Talc,Talcum Powder,132
100g,Yardley Royal Red Rose,Talcum Powder,132
standard,Yojak Kokam Sarbat 500 Ml,Juices & Concentrates,100
100g,Yardley English Rose,Talcum Powder,145
standard,Wagh Bakri Tea,Tea & Beverages,155
61g,Vita marie gold,Biscuits & Cookies,10
500g,Wagh Bakri,Tea & Beverages,310
1kg,Jade Pohe,"Rice, Poha & Puffed Rice",80
standard,good home rose room freshener,Air Fresheners,149
standard,hot &hour soup,Food & Grocery,60
500g,kissan Chilli Tomato Sauce,"Sauces, Jams & Spreads",115
425g,kissan sweet&spicy,"Sauces, Jams & Spreads",80
standard,lika bles,Food & Grocery,45
80g,colget max,Food & Grocery,70
standard,parle chisling,Food & Grocery,140
430ml,comfort,Laundry & Detergent Powder,120
standard,karachi pista Biscuits,Snacks & Namkeen,120
175ml,parachute,Hair Care & Oil,84
56g,Saffola Korean Oat's,Ready to Cook & Instant Mixes,120
standard,manchow noodle shup,"Noodles, Pasta & Vermicelli",70
standard,colgate cibaca toothbrush,Oral Care & Toothbrush,30
standard,miri po 25 g,Chocolates & Confectionery,40
standard,pour home rajnigandha room freshener,Air Fresheners,149
standard,  Sugar 1kg Md,"Salt, Sugar & Jaggery",50
185ml,Tresemme Keratin Smooth,Hair Care & Shampoo,209
500g,surf excel,Laundry & Detergent Powder,110
standard,surf excel matic 1 kg,Laundry & Detergent Powder,270
90ml,vaseline body serum spray,Skin Care &  Body Lotion,135
standard,vaseline body lotion daily brightening50ml,Skin Care &  Body Lotion,55
45ml,vaseline body lotion deep moisture,Skin Care &  Body Lotion,37
100ml/85g,vaseline jelly,Skin Care &  Body Lotion,135
standard,vim bar,Household Cleaning,30
standard,vim bar 10 rs,Household Cleaning,10
15rs,vim lq,Household Cleaning,15
10rs,vita marie,Biscuits & Cookies,10
180g,Malpani butter,Cheese & Paneer,73
standard,QUAKER OATS 400 g PLPCH QUICK COOKING [HOTCRL] [OATS],Cereals & Breakfast,86
1kg,Sugar,"Salt, Sugar & Jaggery",44
200g,Knorr Schezwan Sauce,"Sauces, Jams & Spreads",70
200g,singada atta,Flours & Semolina,110
250g,Sev Chiwda,Food & Grocery,70
standard,pour home sandal room freshener,Air Fresheners,169
180ml,vanish oxi action,Laundry & Softener & Bleach,78
standard,Food,Baby Foods,20
standard,Veeba Mayo,Food & Grocery,99
100+20=120g,Nutri Choice Digestive,Biscuits & Cookies,25
standard,Snickers,Chocolates & Confectionery,65
1kg,Dehaat Jaggery Powder,Indian Sweets,195
200g,Gits medu vada,Cereals & Breakfast,120
1.kg,Wheel Powder,Floor & Surface Cleaners,76
250g,Britania Marie Gold,Biscuits & Cookies,45
200g,Milk Bikis Sandwich,Biscuits & Cookies,55
57g,Kitkat,Chocolates & Confectionery,55
100g,Bourbon,Biscuits & Cookies,25
250g,Nylon Fafda,Snacks & Namkeen,110
75g,Unibic Chocokiss,Biscuits & Cookies,55
100g,Parle Hide And Seek,Biscuits & Cookies,30
60g,Hide And Seek Choco And Hazelnut,Biscuits & Cookies,40
500,Surf Excel,Floor & Surface Cleaners,115
4,FERRERO ROCHER,Chocolates & Confectionery,169
200g,Silky,Snacks & Namkeen,100
standard,Rasoi P TIKKA,Masala & Spices,8.90E+12
42g,5star 3D,Chocolates & Confectionery,40
standard,Snickers Butterscotch Flavour,Chocolates & Confectionery,70
standard,Snickers Peanut Brownie,Chocolates & Confectionery,30
40g,Protein Wafer Bar,Chocolates & Confectionery,60
55g,CDM Silk Fruit & Nut,Chocolates & Confectionery,100
10g,Jaifal Powder,Masala & Spices,35
150g,Good Day Butter,Biscuits & Cookies,25
108.55g,Oreo,Biscuits & Cookies,30
100g,Good Day Pista Badam,Biscuits & Cookies,25
standard,Wheat Kaju Nankatai,Dry Fruits & Nuts,150
69g,Dark Fantasy,Biscuits & Cookies,40
100g,Dark Fantasy Bourbon,Biscuits & Cookies,25
68.9g,Pure Magic  Stars,Biscuits & Cookies,30
90g,Parle G,Biscuits & Cookies,8.9
150g,Vitamarie Gold,Biscuits & Cookies,25
75g,NC Chocolate And Almond,Biscuits & Cookies,25
100g,Good Day Chunkies,Biscuits & Cookies,40
75g,Good Day Choco Chip,Biscuits & Cookies,45
200g,Nylon Papdi,Snacks & Namkeen,90
standard,BHEL PURI,Food & Grocery,67
128g,Sunfeast Cheese Wowzers,Biscuits & Cookies,50
70g,Millet Bytes Cheese Wafers,Biscuits & Cookies,75
140g,MB Chocolate Wafers,Biscuits & Cookies,75
140g,MB Pineapple Flavour,Biscuits & Cookies,75
239.7g,Parle Marie,Biscuits & Cookies,40
67.5g,Unibic SF Multigrain Cookies,Biscuits & Cookies,60
67.5g,Unibic SF Oatmeal Cookies,Biscuits & Cookies,60
150g,Dibicheck Biscuits,Biscuits & Cookies,70
100g,Azista TG Karela Biscuit,Biscuits & Cookies,52
300g,Unibic Choco Nut,Biscuits & Cookies,165
300g,Unibic Fruit And Nut,Biscuits & Cookies,165
270g,Unibic Cashew Badam,Biscuits & Cookies,135
300g,Unibic Danish Coconut,Biscuits & Cookies,165
standard,Hot Nachos,Snacks & Namkeen,100
50g,SF Diet Masala Makhana,Bakery & Breads,150
20g,kesari milk masala,Masala & Spices,87
168g,Lotte Choco Pie,Biscuits & Cookies,90
standard,Lux White,Bathing Soaps & Body Wash,170
50g,SF Jalapeno Makhana,Bakery & Breads,150
50g,SF Tiranga Makhana,Bakery & Breads,150
50g,SF Pudina Makhana,Bakery & Breads,150
100g,SF Diet Jawari Puff,Bakery & Breads,169
250g,Mahalakshmi Shev Chivda,Bakery & Breads,26
250g,Kondaji Nashik Chiwda,Bakery & Breads,90
65g,MR Chocolate Makahana,Bakery & Breads,120
standard,Mr makhana Pudina,Bakery & Breads,150
200g,Maharaja Papad Chiwda,Bakery & Breads,70
200g,KB Bhadang,Bakery & Breads,70
60g,Mr Makhana Himalayan Salt,Bakery & Breads,150
100g,Dark Fantasy Choco Cream,Biscuits & Cookies,35
185.6g,Parle Monaco,Biscuits & Cookies,35.6
140g,Ching's Veg Hakka Noodles,"Noodles, Pasta & Vermicelli",28
standard,Mix  Wade 200g ,Baby Foods,80
500g,Maggi Hot And Chilli Sauuce,"Sauces, Jams & Spreads",122
200g,Dabur Red Paste,Oral Care & Toothpaste,153
415g,Kissan No Onion Garlic,"Sauces, Jams & Spreads",80
500g,Kissan Tomato Chilli Sauce,"Sauces, Jams & Spreads",120
85g,Helmanns Chessy Mayonise,"Sauces, Jams & Spreads",50
35grew,Snapin Chilli Flakes,Masala & Spices,90
250g,Funfoods Veg Mayonnaise,"Sauces, Jams & Spreads",99
300g,KB Chatpati Bhel,Bakery & Breads,346
55g,KB Misal Farsan,Bakery & Breads,80
60g,Mr Makhan Butter Tomato,Bakery & Breads,150
40g,NN Makhana HS And Pepper,Bakery & Breads,99
50g,Keya Black Pepper Powder,Masala & Spices,99
35g,Keya Taco Nahos,Masala & Spices,50
50g,Keya Chaat Masala,Masala & Spices,45
35g,Keya Piri Piri,Masala & Spices,50
35g,Keya Chilli Flakes,Masala & Spices,50
35g,Keya Pizza Oregano,Masala & Spices,50
7g,Keya Mint,Masala & Spices,139
35g,Keya Herby Italian,Masala & Spices,50
80g,Keya Salad Seasning,Masala & Spices,159
500g,Pro Nature Brown Sugar,"Salt, Sugar & Jaggery",86
200g,Vebba Chessy Melt,"Sauces, Jams & Spreads",99
100g,FF Pasta And Pizza,"Sauces, Jams & Spreads",45
250g,Hellmanns Mayonise,"Sauces, Jams & Spreads",90
325g,Funfoods Pasta & Pizza sauce,"Sauces, Jams & Spreads",99
250g,Vebba Mayonise Burger,"Sauces, Jams & Spreads",109
60g,Mr Makhan Piri Piri,Bakery & Breads,150
35g,Keya Sandwich Mix,Masala & Spices,50
485g,Maggi Tomato Sauce,"Sauces, Jams & Spreads",120
850g,Kissan No Onion garlic,"Sauces, Jams & Spreads",130
100g,Vebba Pasta And Pizza Sasuce,"Sauces, Jams & Spreads",49
50g,Kaju,Dry Fruits & Nuts,70
standard,Ching'S Dark soy sauce,"Sauces, Jams & Spreads",60
250g,Til Gajak,Indian Sweets,160
1kg,Kissan Ketchup,"Sauces, Jams & Spreads",93
100g,Kissan Peanut Butter,"Sauces, Jams & Spreads",50
1kg,Unpolish Turdal,Dals & Pulses,220
standard,Paper Dosa Butter ,Snacks & Namkeen,99
standard,Nivea Cream,Skin Care &  Body Lotion,120
standard,Samrat Rava 500 G,Flours & Semolina,40
13g,Keya Parsley,Masala & Spices,139
450g,Delmonte Whole Green Olives,"Sauces, Jams & Spreads",330
standard,Mala's Kacha Aam,Juices & Concentrates,160
750ml,MALA'S Chickoo crush,Juices & Concentrates,180
510g,MF Dark Choco Peanut Butter Crispy,Butter & Cream,399
175ml,Dove  Cond,Hair Care & Shampoo,285
175ml,parachute,Hair Care & Oil,115
500g,DEHAAT CHANA DAL,Dals & Pulses,105
200g,Kissan Sweet And Spicy,"Sauces, Jams & Spreads",75
200g,Wok Tok Red Chilli Sauce,"Sauces, Jams & Spreads",60
standard,Svitemblica Ginger Lemon,Food & Grocery,190
standard,Svitemblica Amla,Juices & Concentrates,170
40ml,Svitemblica Avala Adrak,Juices & Concentrates,541
880g,Svitemblica Amla Khus,Juices & Concentrates,185
750ml,Malas Khus Syrup,Juices & Concentrates,160
750ml,Malas Jeera Masala,Juices & Concentrates,160
750ml,Malas Kala Khatta,Juices & Concentrates,160
750ml,Malas Rose,Juices & Concentrates,160
200g,Talod Gota Mix Flour,Flours & Semolina,62
200g,Talod Dhokla Flour,Flours & Semolina,57
100g,Winn Green Chilli,"Sauces, Jams & Spreads",25
235g,Delmonte Sliced Green Olives,"Sauces, Jams & Spreads",210
75g,Maggi Imli Sauce,"Sauces, Jams & Spreads",22
250g,Chings Schezwan Jain Chutney,"Sauces, Jams & Spreads",100
500g,Unpolish Turdal,Dals & Pulses,110
200g,Gits rava dosa,Cereals & Breakfast,80
100g,Gits Vermicelli Kheer,Ready to Cook & Instant Mixes,75
200g,Gits basundi,Indian Sweets,99
100g,Keya Black Pepper Powder,Masala & Spices,195
100g,Keya Pizza Oregano,Masala & Spices,80
standard,Sooper vermicelli kheer,Ready to Cook & Instant Mixes,90
200g,Mother 'S Tamarind Date,Food & Grocery,65
200g,Horlicks,Health Drinks,124
200g,Complan,Health Drinks,145
250g,Protinex,Health Drinks,395
200g,Pedia Sure,Health Drinks,385
500g,Bournvita,Health Drinks,225
550g,Horlicks,Health Drinks,235
400g,Chocolate Horlicks,Health Drinks,179
200g,Badam Drink Mix,Health Drinks,136
750ml,Malas Greenadine,Juices & Concentrates,299
750ml,Malas Raspberry,Health Drinks,299
750ml,Malas Kokum Syrup,Health Drinks,160
750ml,Malas Pinacolada,Health Drinks,299
200g,Horlicks Choco,Health Drinks,130
250g,Cornflour,Flours & Semolina,35
510g,MF Choco Crunchy Peanut Butter,Butter & Cream,339
510gv,MF Nosugar Peanut Butter,Butter & Cream,320
510g,MF Original peanut Butter,Butter & Cream,320
510g,MF Mango Peanut Butter,Butter & Cream,349
510g,MF Original Peanut Butter,Butter & Cream,320
200g,Keya Table Salt,Masala & Spices,49
70g,Keya Pizza Chilli,Masala & Spices,119
180ml,Real Apple,Juices & Concentrates,20
180ml,Real Guava,"Salt, Sugar & Jaggery",20
180ml,Real Mixed Fruit,Juices & Concentrates,20
180ml,Real Orange,Juices & Concentrates,20
180ml,Real pineapple,Juices & Concentrates,20
200ml,Yojak pachak,Juices & Concentrates,80
200g,MP Bhelpuri Chutney,"Sauces, Jams & Spreads",65
750ml,Malas Ginger And Lime,Health Drinks,160
750ml,Malas Citrus Punch,Health Drinks,299
750ml,RK Kala Khatta,Health Drinks,175
20g,Chings Panneer Chilli Masala,Masala & Spices,10
200g,Cheese Butter Chakli,Masala & Spices,80
250g,Patra,Snacks & Namkeen,120
1L,Parachute,Hair Care & Oil,495
100grew,Sunday Mustard Oil,Cooking Oils,235
standard,Np Sesame Oil,Cooking Oils,370
255ml,Guinea Divya Shakti,Cooking Oils,130
490g,Kissan Mango Jam,"Sauces, Jams & Spreads",210
2,Nescafe,Coffee,2
15g,Nestle Milk Powder,Health Drinks,10
standard,Fox's Fruits Chocolate,Chocolates & Confectionery,165
500g,Ram Bandhu Lime Pickle,Pickles & Chutneys,130
900ml,Deep Shakti Deep Oil,Pooja Essentials,230
400g,Amul Mithai Mate,Ready to Cook & Instant Mixes,126
20g,Chings Hakka Noodles Masala,Masala & Spices,10
140g,Chings Hakka Noodles,Ready to Cook & Instant Mixes,35
200G,Amul Mithai Mate Condensed Milk,Cheese & Paneer,66
1kg,Malas Mango Jam,"Sauces, Jams & Spreads",185
1kg,Malas Pineapple Jam,"Sauces, Jams & Spreads",185
1kg,Malas Strawberry Jam,"Sauces, Jams & Spreads",185
1kg,Malas Mixed Fruit Jam,"Sauces, Jams & Spreads",185
200g,Malas Pineapple Jam,"Sauces, Jams & Spreads",50
standard,Malas Mixed Friut Jam 200gn B,"Sauces, Jams & Spreads",50
500g,Malas Mixed Fruit,"Sauces, Jams & Spreads",135
350g,Malas Jamun Jam,"Sauces, Jams & Spreads",280
188g,Kissan Mango Jam,"Sauces, Jams & Spreads",100
500g,Kissan Pineapple,"Sauces, Jams & Spreads",210
100g,Maggi Coconut Milk Powder,Ready to Cook & Instant Mixes,125
300g,Pasand Mango Pickle,Pickles & Chutneys,160
standard,SENSODYNE 150 g CDBOX FRESH GEL WITH FLUORIDE,Oral Care & Toothpaste,224
45g,Nescafe,Coffee,235
200g,Chat Chivda,Masala & Spices,80
5LIT,GOLD WINNER,Ghee & Dairy Fats,975
500ml,Nandini ghee,Ghee & Dairy Fats,335
150g,Colgate Pepper Ice,Oral Care & Toothpaste,140
1.1kg,Tide Jasmine And Rose,Household Cleaning,146
1kg,Surf Excel Quick Wash,Household Cleaning,230
1kg,Surf Excel Easy Wash,Household Cleaning,152
1.1kg,Ariel Colour Care,Household Cleaning,342
1kg,Ariel Perfect Wash,Household Cleaning,154
100g,Santoor Pack Of 4,Bathing Soaps & Body Wash,165
100g,Pears Soft & Fresh,Bathing Soaps & Body Wash,56
1kg,DAAWAT BIRYANI,"Rice, Poha & Puffed Rice",250
280g,Nissin top Ramen,Ready to Cook & Instant Mixes,110
125g,American Biscuit,Biscuits & Cookies,2
290g,Maggi Veg Atta Free Voucher,Ready to Cook & Instant Mixes,112
298g,Maggi Oats,Ready to Cook & Instant Mixes,140
420g,Maggi 2min,Ready to Cook & Instant Mixes,90
70grew,Maggi 2 minute,Ready to Cook & Instant Mixes,15
76g,Maggi Spicy Cheesy,Ready to Cook & Instant Mixes,25
74.5g,Maggi Oats,Ready to Cook & Instant Mixes,35
75g,Yippee Korean Style,Ready to Cook & Instant Mixes,49
140g,Maggi Pack Of 2,Ready to Cook & Instant Mixes,30
61g,Maggi Spicy Manchurian,Ready to Cook & Instant Mixes,20
110g,Knor Korean Ramen,Ready to Cook & Instant Mixes,60
70g,Maggi Special Masala,Ready to Cook & Instant Mixes,20
62g,Maggi Spicy Peeper,Ready to Cook & Instant Mixes,25
75g,Maggi Pasta Cheese,"Noodles, Pasta & Vermicelli",35
68.5g,Maggi Pasta Mushroom,"Noodles, Pasta & Vermicelli",30
68.5g,Maggi Pasta Chesse Tomato,"Noodles, Pasta & Vermicelli",35
69.5g,Maggi Pasta Masala,"Noodles, Pasta & Vermicelli",35
100g,Sensodyne Repair & protect,Oral Care & Toothpaste,270
62g,Maggi Spicy Garlic,Ready to Cook & Instant Mixes,25
70gift,Yippee Magic Masala,Ready to Cook & Instant Mixes,15
75g,Moti Gulab,Bathing Soaps & Body Wash,40
6*75g,Medimix soap,Bathing Soaps & Body Wash,190
standard,Medimix Sandal And Eladi Oil,Bathing Soaps & Body Wash,180
600g,Dettol Icy Cool,Bathing Soaps & Body Wash,220
400g,Deetol skin Care,Bathing Soaps & Body Wash,154
400g,Dettol Lime Cool,Bathing Soaps & Body Wash,160
standard,Bubbly ,Chocolates & Confectionery,95
36g,Fruit&nut,Chocolates & Confectionery,55
standard,Kitkat Dark,Chocolates & Confectionery,95
standard,Kitkat Double Cho,Chocolates & Confectionery,120
standard,Milkybar24g,Chocolates & Confectionery,20
standard,Muesli Cho60g,Cereals & Breakfast,60
standard,MUDRA RAVA,Flours & Semolina,39
500g,Mudra rawa,Flours & Semolina,39
500,Roasted Suji,Baby Foods,38
standard,Madam Suji500g,Baby Foods,48
standard,Girnar Lemongrass Chai ,Coffee,150
200g,SU Ragi Satva With Sugar,"Salt, Sugar & Jaggery",70
100g,Parle Hide & seek,Food & Grocery,27
500g,Manish Dhaniya,Masala & Spices,190
500,Manish Malvani,Masala & Spices,360
500g,Eve Tikhalal,Masala & Spices,260
standard,AMUL [BUTTER] 100 g [SALTED],Ghee & Dairy Fats,60
standard,Gow Paneer,Milk & Dairy,105
standard,Nashik Misal Masala,Masala & Spices,30
600g,Dettol Germ Defence,Bathing Soaps & Body Wash,217
76,Rice,"Rice, Poha & Puffed Rice",76
standard,Everest Turmeric100g,Masala & Spices,46
60g,Pears Pure And Gentle,Bathing Soaps & Body Wash,24
100g,Everest Tikhalal,Masala & Spices,54
500g,Fortune Poha,Baking & Dessert,60
100g,Badaki,Masala & Spices,50
200g,GOW GHEE,Ghee & Dairy Fats,169
standard,Figaro olive oil 45ml ,Ghee & Dairy Fats,99
standard,Dairy Milk silk  Fruit and Nut ,Chocolates & Confectionery,100
500g,Bournvita,Health Drinks,270
1kg,Jwari,Wheat & Atta,90
120,Basmati,"Rice, Poha & Puffed Rice",120
standard,grount,Dry Fruits & Nuts,180
72,Rice,"Rice, Poha & Puffed Rice",72
60,Rice,"Rice, Poha & Puffed Rice",60
48,Rice,"Rice, Poha & Puffed Rice",48
75g,Biscoff,Biscuits & Cookies,30
96,Rice,"Rice, Poha & Puffed Rice",96
120,Rice,"Rice, Poha & Puffed Rice",120
52,Rice,"Rice, Poha & Puffed Rice",52
99,Basmati,"Rice, Poha & Puffed Rice",99
180,Basmati,"Rice, Poha & Puffed Rice",180
66,Tukda Basmati,"Rice, Poha & Puffed Rice",66
77,Tukda Basmati,"Rice, Poha & Puffed Rice",77
52,Lokwan,"Rice, Poha & Puffed Rice",52
56,Lokwan,"Rice, Poha & Puffed Rice",56
48,Mp Sure,Wheat & Atta,48
standard,Lokwan 96 ,Wheat & Atta,96
48,Mp Shure,Wheat & Atta,48
standard,Mp Shure 96 ,Wheat & Atta,96
72,Mp Shure,Wheat & Atta,72
185g,Saffola Muesli Berry Crunch,Baking & Dessert,175
80,Mp Shure,Wheat & Atta,80
42,Jwari,Wheat & Atta,42
48,Jwari,Wheat & Atta,48
52,Idli Rice,"Rice, Poha & Puffed Rice",52
48,Patni Rice,"Rice, Poha & Puffed Rice",48
standard,Lokvan54,Wheat & Atta,54
standard,Masala Chai ,Coffee,170
43,Sugar,"Salt, Sugar & Jaggery",43
20g,Khada Garam Masala,Masala & Spices,50
200g,Butter chakali,Snacks & Namkeen,120
250g,Mini Bhakarwadi,Snacks & Namkeen,90
250g,Murku,Snacks & Namkeen,70
250g,Mora Shev,Food & Grocery,75
200g,Tam Tam puri,Food & Grocery,70
200g,Fulwadi,Coffee,80
200g,Bhajani Chakli,Snacks & Namkeen,70
standard,Saffola M Oast Curry Corn Pepper ,Masala & Spices,18
200g,Mini sev chakali,Snacks & Namkeen,90
200g,7 Star,Snacks & Namkeen,90
standard,VIJAYA 500M PPH AgARK SPECIAL GRADE GHEE TELANGANA SIMPLY THE BEST MI,Curd & Dairy,345
100g,Imli Chutney,Pickles & Chutneys,25
400g,Chitale Gulabjam,Ready to Cook & Instant Mixes,178
110g,Vim Pudina Fresh,Household Cleaning,10
750ml,Mala's Mixed Fruit Crush,Juices & Concentrates,180
18g,5 Star,Chocolates & Confectionery,10
67,Basmati Tukda,"Rice, Poha & Puffed Rice",67
1kg,Wada Kolam,"Rice, Poha & Puffed Rice",80
200g,Dabur Meswak paste,Oral Care & Toothpaste,222
4N×72g,Odonil,Air Fresheners,310
5N×48g,Odonil,Air Fresheners,220
75g,Dairy Milk,Chocolates & Confectionery,120
250g,Anjeer Kaju Katri Sugar Free,Indian Sweets,375
50g,Samadhan Tak Masala,Masala & Spices,51
500g,Broken Wheat daliya,Food & Grocery,59
50g,Sunrise Coffee,Coffee,175
250g,Methi Puri,Food & Grocery,80
250g,Elbow Pasta,"Noodles, Pasta & Vermicelli",30
50g,Ramdev Hing,Masala & Spices,160
standard,Cycle Agarbati ,Pooja Essentials,55
58,Boiled Rice,"Rice, Poha & Puffed Rice",58
60,Boiled Kolam,Wheat & Atta,60
65,Boiled Kolam,Wheat & Atta,65
88,Chana Dal,Dals & Pulses,88
120,Udid Dal,Dals & Pulses,120
standard,Methi Thepla 5pc ,Indian Sweets,60
200g,Spring Chakali,Snacks & Namkeen,90
200g,One Bite Chakali,Snacks & Namkeen,90
standard,Colgate Super Flexi,Oral Care & Toothbrush,20
250g,Tata tea Gold,Tea & Beverages,155
90ml,PARACHUTE JASMINE,Hair Care & Oil,45
40g,Khada Garam Masala,Masala & Spices,100
standard,Pista Burfi Cooking,Biscuits & Cookies,140
standard,Mini Methi Khakhra ,Food & Grocery,95
standard,Rajgira Laddu ,Food & Grocery,35
standard,Jwari Toast ,Food & Grocery,90
213g,Silk Selections,Chocolates & Confectionery,450
90g,Silk Miniature,Chocolates & Confectionery,280
155g,Celebration Premium,Chocolates & Confectionery,225
177g,Celebration Rich Dry Fruit,Chocolates & Confectionery,599
standard,Celebration,Chocolates & Confectionery,80
54g,Celebration,Chocolates & Confectionery,50
1L,Git's Cow Ghee,Ghee & Dairy Fats,755
standard,Mini Gulab Jamun ,Indian Sweets,65
1big,Dark Fantasy,Biscuits & Cookies,170
1kg,Sugar,"Salt, Sugar & Jaggery",48
105,Mung Dal,Dals & Pulses,105
140,Tur Dal,Dals & Pulses,140
160,Tur Dal,Dals & Pulses,160
250,DRY FRUIT CHIKKI,Indian Sweets,220
250g,Kachori,Indian Sweets,100
80,Khari,Biscuits & Cookies,80
200g,Dant Kanti,Oral Care & Toothpaste,120
150,Khari,Biscuits & Cookies,150
55,Wheat Toast,Biscuits & Cookies,55
110,Milk Toast,Biscuits & Cookies,110
44,Masuri,"Rice, Poha & Puffed Rice",44
250g,WAGH BAKARI Spices tea,Tea & Beverages,170
55g,Bru Gold,Coffee,335
standard,Dryfruit Chikki,Food & Grocery,220
250g,Khandela kashmiri po.,Masala & Spices,275
standard,Parimal Rice 1 kg ,"Rice, Poha & Puffed Rice",42
standard,Milk Bikis Cream 44g ,Biscuits & Cookies,10
45g,Good Day Pista Badam,Biscuits & Cookies,10
70g,Bournvita,Health Drinks,30
standard,Girnar Royal Cup Tea,Tea & Beverages,155
250g,KAJU,Dry Fruits & Nuts,325
standard,Wheat Khari ,Biscuits & Cookies,70
50g,L G Hing,Masala & Spices,102
200g,K pra Sabudana Flour,Flours & Semolina,50
250g,Veeba Tandoori Mayonise,"Sauces, Jams & Spreads",109
